iter	Passed	Remaining
0	142	142024
1	164	82189
2	189	63009
3	213	53066
4	230	45850
5	247	40931
6	265	37722
7	283	35105
8	299	33019
9	316	31337
10	334	30093
11	351	28973
12	369	28033
13	388	27367
14	409	26886
15	425	26172
16	443	25650
17	461	25152
18	477	24648
19	494	24215
20	523	24415
21	563	25068
22	589	25048
23	613	24950
24	634	24753
25	656	24600
26	680	24538
27	705	24476
28	730	24464
29	751	24309
30	773	24169
31	793	24016
32	815	23884
33	837	23783
34	863	23798
35	885	23700
36	904	23547
37	927	23473
38	947	23357
39	969	23268
40	993	23237
41	1013	23117
42	1032	22984
43	1054	22918
44	1072	22750
45	1089	22585
46	1106	22439
47	1124	22306
48	1140	22142
49	1156	21976
50	1175	21867
51	1196	21812
52	1217	21748
53	1235	21642
54	1254	21546
55	1273	21463
56	1289	21336
57	1307	21233
58	1323	21108
59	1341	21017
60	1363	20994
61	1383	20930
62	1404	20887
63	1424	20838
64	1445	20791
65	1468	20782
66	1488	20732
67	1508	20678
68	1529	20636
69	1546	20545
70	1564	20467
71	1581	20383
72	1602	20346
73	1624	20324
74	1646	20308
75	1670	20310
76	1689	20252
77	1710	20218
78	1730	20176
79	1750	20133
80	1769	20080
81	1788	20018
82	1804	19931
83	1820	19849
84	1839	19797
85	1858	19747
86	1874	19666
87	1890	19588
88	1906	19515
89	1922	19440
90	1940	19381
91	1956	19308
92	1971	19229
93	1987	19152
94	2006	19119
95	2023	19050
96	2038	18974
97	2055	18918
98	2073	18874
99	2091	18823
100	2108	18764
101	2123	18696
102	2141	18650
103	2158	18594
104	2175	18539
105	2191	18485
106	2212	18463
107	2236	18471
108	2262	18493
109	2286	18497
110	2311	18513
111	2344	18587
112	2366	18572
113	2385	18539
114	2406	18517
115	2424	18475
116	2443	18440
117	2461	18395
118	2478	18348
119	2495	18302
120	2517	18285
121	2535	18243
122	2553	18206
123	2571	18168
124	2588	18117
125	2605	18074
126	2623	18035
127	2641	17993
128	2657	17945
129	2675	17904
130	2691	17852
131	2709	17820
132	2725	17769
133	2742	17723
134	2758	17673
135	2776	17635
136	2791	17585
137	2807	17539
138	2824	17495
139	2840	17445
140	2858	17414
141	2877	17387
142	2902	17394
143	2923	17375
144	2948	17387
145	2971	17380
146	2997	17392
147	3019	17384
148	3042	17377
149	3065	17372
150	3088	17365
151	3116	17385
152	3136	17364
153	3154	17328
154	3171	17291
155	3187	17246
156	3204	17205
157	3222	17172
158	3239	17135
159	3256	17098
160	3273	17060
161	3292	17029
162	3309	16993
163	3326	16954
164	3343	16918
165	3362	16895
166	3382	16871
167	3403	16854
168	3424	16840
169	3443	16812
170	3461	16781
171	3479	16752
172	3499	16728
173	3521	16718
174	3540	16689
175	3558	16662
176	3576	16629
177	3594	16601
178	3612	16567
179	3630	16539
180	3649	16513
181	3667	16481
182	3684	16450
183	3701	16414
184	3720	16390
185	3738	16359
186	3755	16325
187	3772	16293
188	3788	16257
189	3805	16225
190	3823	16194
191	3839	16156
192	3854	16118
193	3870	16081
194	3886	16045
195	3904	16018
196	3921	15985
197	3937	15947
198	3953	15913
199	3970	15880
200	3986	15848
201	4006	15827
202	4024	15800
203	4039	15762
204	4054	15723
205	4070	15689
206	4102	15715
207	4118	15682
208	4136	15655
209	4153	15624
210	4169	15591
211	4186	15559
212	4203	15531
213	4222	15510
214	4248	15512
215	4270	15501
216	4291	15484
217	4312	15469
218	4334	15457
219	4358	15452
220	4379	15438
221	4402	15427
222	4425	15418
223	4448	15409
224	4468	15390
225	4490	15377
226	4509	15355
227	4525	15324
228	4547	15310
229	4564	15280
230	4581	15250
231	4597	15220
232	4614	15190
233	4632	15163
234	4651	15141
235	4678	15146
236	4713	15174
237	4740	15176
238	4774	15201
239	4804	15213
240	4828	15207
241	4850	15193
242	4876	15192
243	4901	15187
244	4924	15174
245	4946	15161
246	4967	15143
247	4985	15116
248	5002	15086
249	5019	15058
250	5037	15031
251	5054	15003
252	5072	14977
253	5091	14952
254	5108	14924
255	5126	14899
256	5150	14891
